&About ...	&Относно ...
&Apply	&Прилагане
&Close Group	&Затваряне на група
&Close Window	&Затваряне на прозорец
&Delete Profile	&Изтриване на профил
&Edit	&Редактиране
&Edit Profile ...	&Редактиране на профил...
&Enable Profile	&Включване на профил
&Exit	&Изход
&Help	&Помощ
&Help...	&Помощ...
&Hide Group	&Скриване на група
&Hide Window	&Скриване на прозорец
&Options	&Настройки
&Predefined Profiles	&Готови профили
&Profiles	&Профили
&Refresh Tray Icons	&Обновяване на иконата в трея
&Restore Group	&Възстановяване на група
&Restore Window	&Възстановяване на прозорец
&Select Language	&Избор на език
&Shell Icons	&Shell икони
&Uninstall	&Спиране
[Create new GUID]	[Създаване на нов GUID]
[No module information available]	[Липсва информация за модула]
[Unable to get process information]	[Невъзможност за получаване на информация за процеса]
1. You can temporarily put any window in the system tray by keeping down the <Shift> button  when minimizing the window.	1. Можете да поставите всеки един прозорец временно в системния трей като задържите натиснат клавиша <Shift> докато минимизирате прозорца.
2. To always keep window in the system tray when minimized, click with the RIGHT mouse button on the corresponding icon created in the tray in the previous step and  check "Place in System Tray" in the popup menu.	2. За да задържите даден прозорец винаги в системния трей докато е минимизиран, чукнете с десния бутон на мишката неговата икона, която се е появила в следствие на предишното действие и изберете "Поставяне в системния трей" от контекстното меню.
3. Clicking with the right mouse button on the minimize icon will bring TrayIt! context menu for this window. Just check "Place in System Tray" in the popup menu to make window always go to the tray.	3. Чукването с десния бутон на мишката върху иконката на минимизираната програма в системния трей ще изведе контекстното меню на TrayIt! за дадения прозорец. Просто изберете "Поставяне в системния трей" в контекстното меню, за да накарате прозореца винаги да отива в системния трей.
About ...	Относно...
About TrayIt!	Относно TrayIt!
Activate status monitoring if message hook can not be installed	Активиране на следенето на статуса, ако прихващането на съобщенията не може да бъде инсталирано
Active Profiles	Активни профили
Advanced	Разширени
Always start minimized	Стартиране винаги минимизирани
Application	Приложение
Application Name and GUID	Име на приложението и GUID
Are you sure you want to delete a locked entry?	Сигурно ли сте, че желаете да изтриете залюченото приложение?
Are you sure?	Сигурни ли сте?
Available Profiles	Налични профилиAvailable Profiles
Basic	Основен
Can't save options - Profile does not exist anymore.	Не може да запамети настройките - профила вече не съществува.
Change compatibility options only if you experiencing problems with the default settings. Please report problems to igornys@writeme.com 	Променете настройката за съвместимост само ако имате проблеми с настройките по подразбиране. Моля докладвайте този проблем на igornys@writeme.com 
Change these settings at your own discretion! Making a window layered may prevent Multimedia and Skinned application from working properly.	Променете тези настройки по ваше усмотрение! Създаване на слоеве в прозореца може да попречи на работата на мултимедийните приложения и такива, които използват различни облици.
Class Filtering	Филтриране на класове
Compatibility	Съвместимост
Complexity Filter	Филтър на сложност
Console Window	Конзолен прозорец
Create Tray Icon for the TrayIt application	Създаване на икона в системния трей за приложението TrayIt
Current GUID	Текущо GUID
Delete Profile	Изтриване на профила
Di&sable Profile	Изключване на профила
Disable Quick Minimize	Изключване на бързото минимизиране
Disabled Profiles	Изключване на профилите
Do not create Tray Icon - minimize and hide window completely	Не създавай икона в трея - минимизирай и скрий прозореца изцяло
Edit &Profile	Редактиране на профил
Edit Current Profile	Редактиране на текущия профил
Enable extra processing for windows that can not be hooked	Включване на допълнително обработване за прозорци, които не могат да бъдат прихванати
Enable functionallity to remove extra shell icons	Включване на функционалността за премахване на допълнителни икони
Enable Window Attributes menu	Включване на менюто за свойствата на прозорците
Enable/Disable Current Profile	Включване/Изключване на текущия профил
Enable/Disable Tray Icons for selected process	Включване/Изключване на иконата в трея за избрания процес
Error creating window class: 	Грешка при създаване на прозорец клас: 
Error creating window: 	Грешка при създаване на прозорец: 
Error loading	Грешка при зареждане
This window has no associated profile!	Този прозорец няма асоцииран профил!
Error registering hook!	Грешка при регистрирането на прихващането!
Exact match with the windows class name is used by default. If pattern matching is active,  '*' and '?' wildcards are allowed in the class name. 	По подразбиране се използва точно съвпадение с името на класа на прозореца. Ако използването на шаблони е включено, символите '*' and '?' са разрешени в името на класа. 
Exit TrayIt!, are you sure?	Излизане от TrayIt!, сигурни ли сте?
Export &Settings	Изнасяне на настройките
Extras	Екстри
File	Файл
Find Window	Откриване на прозорец
For the latest version of TrayIt! visit  http://www.trayit.com	За последната версия на TrayIt! посетете http://www.trayit.com
Group similar tray icons for each application	Групиране на подобни икони в трея за всяко приложение
Grouping	Групиране
Groups	Групи
Handle SDI type applications like Excel, PowerPoint or MS Project	Управление на SDI типове приложения като Excel, PowerPoint или MS Project
Help file not found!	Помощният файл не беше открит!
Help!	Помощ!
Hide application from the Taskbar all the time, keep tray icon only	Скриване на приложението от таскбара през цялото време и запазване само на иконата в системния трей
Hold <Shift> instead of <Ctrl> minimizing a window to the tray	Задръжте <Shift> вместо <Ctrl> за да минимизирате прозореца в трей
Hold the left mouse key when dragging the Finder Tool over the target window	Задръжте левия бутон на мишката докато влачите инструмента за откриване върху прозореца-цел
Icon GUID	GUID на иконата
Invalid Window	Невалиден прозорец
Load TrayIt! at Startup	Зареждане на TrayIt! при стартиране на Windows
Lock (preserve) settings when changing 'Place in System Tray' status.	 на настройките при промяна на статуса на "Поставяне в системния трей"
Make window layered to enable transparency	Добавяне на слоеве към прозореца за позволяване на прозрачност
Make window topmost and always visible	Задаване на прозореца да стои най-отгоре и да е винаги видим
Match pattern below with the window class name 	Съвпадане на шаблона по-долу с името на класа на прозореца
Match pattern below with the window title when creating a Tray icon	Съвпадане на шаблона по-долу със заглавието на прозореца при създаване на икона в системния трей
Maximize	Максимизиране
Minimize when in Foreground, activate when in Background	Минимизиране при преден план, активиране при заден план
Minimize window on creation / when TrayIt! is started	Минимизиране на прозореца при създаване / когато се стартира TrayIt!
Minimize	Минимизиране
Miscellaneous	Разни
Modify Application Options	Промяна на настройките на приложението
More	Още
Name as it appears in the profile list	Името, както ще се появява в списъка с профили
No profiles stored	Няма запаметени профили
Only create Tray Icon for windows having children	Създаване на икона в трея само за прозорци, които имат подпрозорци
Pattern matches a substring in the window title. Patterns are not case sensitive.  '*' and '?' wildcards are allowed. '^' as a first symbol inverts the pattern.  '|' separates the alternatives.	Шаблона се използва са заместване на елемент в заглавието на прозореца. Шаблоните не са чувствителни към големи и малки букви. Символите '*' и '?' са позволени. '^' сивола, поставен на първо място обръща значението на шаблона. Символа '|' разделя алтернативите.
Place in System &Tray	Поставяне в системния трей
Place in System Tray!	Поставяне в системния трей!
Please note that context menu will work only for the standard minimize icon and will not pop-up if the program use skins like MS Media player.	Моля имайте в предвид, че контекстното меню работи само при стандартно минимизирани икони и не работи, ако програмата използва различни облици като MS Media player.
Please restart TrayIt! to activate new settings.	Моля рестартирайте TrayIt!, за да активирате новите настройки.
Please waitt .... Initialization in progress	Моля изчакайте.... Зареждане в момента
Profile	Профил
Profile(s)	
Profiles List	Списък с профили
Profiles	Профили
Quick Minimize	Бързо минимизиране
Refresh &Window List	Обновяване на списъка с прозорци
Refresh Icons	Обновяване на иконите
Refresh Profiles	Обновяване на профилите
Refresh	Обновяване
Safe mode - use an alternative slow algorithm to increase compatibility	Защитен режим - използване на алтернативен бавен алгоритъм, за по-голяма съвместимост
Select a new GUID for the Tray Icon:	Изберете ново GUID за иконата в трея:
Select Profiles to Import	Изберете профили, които да внесете
Enable compatibility mode supporting 64-bit Windows	Задаване на режим на x64 съвместимост
Set window attributes on creation / when TrayIt! is started	Задаване на настройките на прозореца при създаване / при стартиране на TrayIt!
Shell Icons List	Списък с икони в shell-a
Shell Icons	Икони в shell-a
ShellIcons	Икони в shell-a
Show Currently Active Windows	Показване на текущо активните прозорци
Show Profile List	Показване на списъка с профили
Show System Tray Icon in minimized state only	Показване на иконата в системния трей само в минимизирано състояние
Show window handler in tooltips and listview	Показване на държача на прозорци в балоните и списъците
Standard definition file not found!	Стандартния файл с дефиниции не беше открит!
Startup	При стартиране
