&About ...	O programu
&Apply	&Potvrdit
&Cancel	&Zavøít
&Close Group	&Zavøít skupinu
&Close Window	&Zavøít okno
&Delete Profile	&Smazat profil
&Edit	&Upravit
&Edit Profile ...	&Upravit profil ...
&Enable Profile	&Zapnout profil
&Exit	&Konec
&Help	&Nápovìda
&Help...	&Nápovìda...
&Hide Group	&Schovat skupinu
&Hide Window	&Schovat okno
&Options	&Nastavení
&Predefined Profiles	&Pøeddefinované profily
&Profiles	&Profily
&Refresh Tray Icons	&Znovu nahrát ikony lišty
&Restore Group	&Obnovit skupinu
&Restore Window	&Obnovit okno
&Select Language	&Vybrat jazyk
&Shell Icons	&Spuštìné ikony
&Uninstall	&Odinstalovat
[Create new GUID]	[Vytvoøit nové GUID]
[No module information available]	[Nejsou dostupné informace modulu]
[Unable to get process information]	[Nelze získat informace o procesu]
1. You can temporarily put any window in the system tray by keeping down the <Shift> button  when minimizing the window.	1. Mùžete doèasnì dát nìjaké okno do systémové lišty podržením tlaèítka <Shift> když minimalizujete okno.
2. To always keep window in the system tray when minimized, click with the RIGHT mouse button on the corresponding icon created in the tray in the previous step and  check "Place in System Tray" in the popup menu.	2. Pro stálé ponechání okna v systémové lištì, když je minimalizované, kliknìte pravým tlaèítkem myši na nabídky v odpovídající tray ikonì,vytvoøené v pøedcházejících krocích vybráním "Umístit do Systémové lišty" v popup nabídce.
3. Clicking with the right mouse button on the minimize icon will bring TrayIt! context menu for this window. Just check "Place in System Tray" in the popup menu to make window always go to the tray.	3. Kliknutím pravým tlaèítkem myši mùžete vybrat v kontextovém menu minimalizování do ikony pomocí Trayit!. Staèí jen vybrat v popup nabídce "Umístit do Systémové lišty" a okno se skryje do lišty.
About ...	O programu ...
About TrayIt!	O programu TrayIt!
Activate status monitoring if message hook can not be installed	Aktivovat stav monitorování zachycených zpráv pokud nelze instalovat
Active Profiles	Aktivní profily
Advanced	Pokroèilé
Always start minimized	Vždy spustit minimalizovanì
Application	Aplikace
Application Name and GUID	Název aplikace a GUID
Are you sure you want to delete a locked entry?	Jste si jist, že chcete vymazat uzamèený zápis?
Are you sure?	Jste si jist?
Available Profiles	Dostupné profily
Basic	Základní
Cancel	Zavøít
Can't save options - Profile does not exist anymore.	Nelze uložit nastavení - profil ještì neexistuje.
Change compatibility options only if you experiencing problems with the default settings. Please report problems to igornys@writeme.com 	Zmìnte kompatibilitu jen pokud máte problém s výchozím nastavením. Prosím informujte mì o problému e-mailem igornys@writeme.com 
Change these settings at your own discretion! Making a window layered may prevent Multimedia and Skinned application from working properly.	Toto nastavení zmìnte jen po dùkladné rozvaze! Vytvoøení prùhledného okna mùže bránit Multimédiím a vzhledùm v øádném pracovním zobrazení.
Class Filtering	Filtrování dle tøídy
Compatibility	Kompatibilita
Complexity Filter	Komplexní filtr
Console Window	Ovládací panel okna
Create Tray Icon for the TrayIt application	Vytvoøit ikonu pro aplikaci TrayIt
Current GUID	Stávající GUID
Delete Profile	Smazat profil
Di&sable Profile	Vy&pnout profil
Disable Quick Minimize	Vypnout minimalizování
Disabled Profiles	Vypnuté profily
Do not create Tray Icon - minimize and hide window completely	Nevytváøet tray ikonu - minimalizovat a skrýt okno úplnì
Edit &Profile	Upravit &profil
Edit Current Profile	Upravit aktuální profil
Enable extra processing for windows that can not be hooked	Umožnit zvláštní proces pro okna, která nelze zpracovat TrayIt!
Enable functionallity to remove extra shell icons	Umožnit odstranìní funkènì zvláštních spuštìných ikon
Enable Window Attributes menu	Umožnit nabídku atributù oken
Enable/Disable Current Profile	Zapne/Vypne aktuální profil
Enable/Disable Tray Icons for selected process	Zapne/Vypne Tray ikonu vybraného procesu
Error creating window class: 	Chyba pøi vytvoøení tøídy okna: 
Error creating window: 	Chyba vytvoøení okna: 
Error loading	Chyba zavádìní
This window has no associated profile!	Toto okno nemá pøidružený profil!
Error registering hook!	Chyba registrovaného zapojení!
Exact match with the windows class name is used by default. If pattern matching is active,  '*' and '?' wildcards are allowed in the class name. 	Vynutit porovnání názvu okna tøídy s používaným výchozím názvem. Pokud odpovídající vzor je aktivní,  zkratky '*' a '?' pro jméno tøídy jsou dovoleny. 
Exit TrayIt!, are you sure?	Opravdu se chcete zbavit TrayIt! ?
Export &Settings	Export &nastavení
Extras	Doplòky
File	Soubor
Find Window	Najít okno
For the latest version of TrayIt! visit  http://www.trayit.com	Pro zjištìní nejnovìjší verze TrayIt! navštivte  http://www.trayit.com
Group similar tray icons for each application	Seskupit podobné tray ikony pro jiné aplikace
Grouping	Sdružování
Groups	Skupiny
Handle SDI type applications like Excel, PowerPoint or MS Project	Ovládat typy aplikací SDI jako Excel, PowerPoint nebo MS Project
Help file not found!	Nápovìda nenalezena!
Help!	Nápovìda!
Hide application from the Taskbar all the time, keep tray icon only	Skrýt aplikaci z Úkolové lišty po celou dobu, zobrazit jen tray ikonu
Hold <Shift> instead of <Ctrl> minimizing a window to the tray	Podržením <Shift> místo <Ctrl> minimalizovat okno do lišty
Hold the left mouse key when dragging the Finder Tool over the target window	Podržením levého tlaèítka myši pøetáhnìte Vyhledávací nástroj na cílové okno
Icon GUID	GUID ikony
Invalid Window	Nesprávné okno
Load TrayIt! at Startup	Spustit TrayIt! pøi startu
Lock (preserve) settings when changing 'Place in System Tray' status.	Uzamknout (uchovat) nastavení pøi zmìnì stavu 'Umístit do Systémové lišty'.
Make window layered to enable transparency	Zprùhlednit okno
Make window topmost and always visible	Spouštìt okno na vrchu a vždy viditelnì
Match pattern below with the window class name 	Porovnat vzor níže s tøídou a názvem okna 
Match pattern below with the window title when creating a Tray icon	Pøi vytvoøení tray ikony jí nazvat podle vzoru níže
Maximize	Maximalizovat
Minimize when in Foreground, activate when in Background	Minimalizovat v popøedí, aktivovat na pozadí
Minimize window on creation / when TrayIt! is started	Minimalizovat okno pøi vytvoøení / spuštìní TrayIt!
Minimize	Minimalizovat
Miscellaneous	Rùzné
Modify Application Options	Úprava nastavení aplikace
More	Další
