&About ...	Over...
&Apply	Toepassen
&Close Group	Groep sluiten
&Close Window	Venster sluiten
&Delete Profile	Profiel verwijderen
&Edit	Bewerken
&Edit Profile ...	Profiel bewerken
&Enable Profile	Profiel activeren
&Exit	Afsluiten
&Help	Help
&Help...	Help...
&Hide Group	Groep verbergen
&Hide Window	Venster verbergen
&Options	TrayIt!-Opties
&Predefined Profiles	Voorgedefinieerde Profielen
&Profiles	Profiellijst
&Refresh Tray Icons	Ververs systeembalk iconen
&Restore Group	Groep herstellen
&Restore Window	Venster maximaliseren
&Select Language	Kies taal
&Shell Icons	Taakbalk-iconen
&Uninstall	Deïnstalleren
[Create new GUID]	[Creëer nieuwe GUID]
[No module information available]	[Geen module informatie beschikbaar]
[Unable to get process information]	[Geen procesinformatie beschikbaar]
1. You can temporarily put any window in the system tray by keeping down the <Shift> button  when minimizing the window.	1. Elk venster kan in de systeembalk geplaatst worden door de <shift>-knop in te drukken bij het minimaliseren.
2. To always keep window in the system tray when minimized, click with the RIGHT mouse button on the corresponding icon created in the tray in the previous step and  check "Place in System Tray" in the popup menu.	2. Om applicaties steeds naar de systeembalk te minimaliseren: nadat u stap één hebt uitgevoerd klikt u RECHTS op het aangemaakte icoon, en vinkt u "Minimaliseer naar systeembalk" aan.
3. Clicking with the right mouse button on the minimize icon will bring TrayIt! context menu for this window. Just check "Place in System Tray" in the popup menu to make window always go to the tray.	3. rechts klikken op het icoon in de systeembalk toont het TrayIt! context menu. Kies voor "Minimaliseer naar Systeembalk" in het popup menu om het venster steeds naar de tray te sturen.
About ...	Over ...
About TrayIt!	Over TrayIt!
Activate status monitoring if message hook can not be installed	Activeer statustoezicht als de 'message hook' niet geïnstalleerd kan worden
Active Profiles	Actieve profielen
Advanced	Geavanceerd
Always start minimized	Steeds geminimaliseerd opstarten
Application	Applicatie
Application Name and GUID	Naam en GUID van de applicatie:
Are you sure you want to delete a locked entry?	Weet u zeker dat u een locked entry wil verwijderen?
Are you sure?	 u zeker?
Available Profiles	Beschikbare Profielen
Basic	Basis
Can't save options - Profile does not exist anymore.	Kan de opties niet opslaan - Het profiel bestaat niet meer.
Change compatibility options only if you experiencing problems with the default settings. Please report problems to igornys@writeme.com 	Verander de compatibiliteitsopties alleen als u problemen met de normale instellingen ondervindt. Rapporteer problemen aan igornys@writeme.com, a.u.b.
Change these settings at your own discretion! Making a window layered may prevent Multimedia and Skinned application from working properly.	Verander deze instellingen op eigen risico! Een venster gelaagd maken kan Multimediaprogramma's en geskinde applicaties verhinderen correct te werken.
Class Filtering	Filtering volgens Class
Compatibility	Compatibiliteit
Complexity Filter	Complexiteitsfilter
Console Window	Consolevenster
Create Tray Icon for the TrayIt application	Gebruik een systeembalk-icoon voor TrayIt!
Current GUID	Huidige GUID
Delete Profile	Verwijder Profiel
Di&sable Profile	Profiel deactiveren
Disable Quick Minimize	Snelle minimalisatie uitschakelen
Disabled Profiles	Inactieve profielen
Do not create Tray Icon - minimize and hide window completely	Geen systeembalk-icoon maken - venster volledig verbergen bij minimalisatie
Edit &Profile	Wijzig &Profiel
Edit Current Profile	Wijzig profiel
Enable extra processing for windows that can not be hooked	Extra processing toelaten voor vensters die niet gehooked kunnen worden
Enable functionallity to remove extra shell icons	Extra functionaliteit toelaten om extra systeembalk-iconen te verwijderen
Enable Window Attributes menu	Menu voor Venster Attributen
Enable/Disable Current Profile	Huidig Profiel (de)activeren
Enable/Disable Tray Icons for selected process	Iconen voor geselecteerde processen (de)activeren
Error creating window class: 	Fout bij het creëren van de venster class: 
Error creating window: 	Fout bij het maken van venster: 
Error loading	Fout bij het inladen
This window has no associated profile!	Dit venster heeft geen toegewezen profiel!
Error registering hook!	Fout bij het registreren van de hook!
