&About ...	über...
&Apply	Anwenden
&Close Group	Gruppe schließen
&Close Window	Fenster schließen
&Delete Profile	Profil löschen
&Edit	Editieren
&Edit Profile ...	Profil editieren ...
&Enable Profile	Profil aktivieren
&Exit	Beenden
&Help	Hilfe
&Help...	Hilfe...
&Hide Group	Gruppe ausblenden
&Hide Window	Fenster verstecken
&Options	Optionen
&Predefined Profiles	Vordefinierte Profile
&Profiles	Profile
&Refresh Tray Icons	Symbole im Infobereich aktualisieren
&Restore Group	Gruppe wiederherstellen
&Restore Window	Fenster wiederherstellen
&Shell Icons	Shellsymbole
&Uninstall	Deinstallieren
[Create new GUID]	[Neue GUID erzeugen]
[No module information available]	[Keine Info zum Modul verfügbar]
[Unable to get process information]	[Außerstande, Infos zum Prozess zu erhalten]	
1. You can temporarily put any window in the system tray by keeping down the <Shift> button when minimizing the window.	1. Zum einmaligen Ablegen von Fenstern im Infobereich <Ctrl> (optional <Shift>) -Taste beim Minimieren von Fenstern drücken.
2. To always keep window in the system tray when minimized, click with the RIGHT mouse button on the corresponding icon created in the tray in the previous step and  check "Place in System Tray" in the popup menu.	2. Wählt man nach einem Rechts-Click auf das Symbol aus Schritt 1 im Kontextmenue "Im Infobereich ablegen", werden minimierte Fenster stets so angezeigt.
3. Clicking with the right mouse button on the minimize icon will bring TrayIt! context menu for this window. Just check "Place in System Tray" in the popup menu to make window always go to the tray.	3. In bereits geöffneten Fenstern ist diese Option nach einem Rechts-Click auf das [-] Symbol der Fenster zugänglich.
About ...	Über ...
About TrayIt!	Über TrayIt!
Activate status monitoring if message hook can not be installed	Statusmonitoring aktiv, wenn Message Hook nicht installiert werden kann
Active Profiles	Aktive Profile
Advanced	noch mehr
Always On Top 1	Immer On top 1
Always On Top	Immer on top
Always start minimized	TrayIt! stets minimiert starten
Application	Anwendung
Application Name and GUID	Name der Anwendung und GUID
Are you sure you want to delete a locked entry?	Sind Sie sicher, einen gesperrten Eintrag zu löschen?
Are you sure?	Sind Sie sicher?
Available Profiles	Verfügbare Profile
Basic	einfach
Can't save options - Profile does not exist anymore.	Speichern der Einstellungen nicht möglich - Profil existiert nicht mehr.
Change compatibility options only if you experiencing problems with the default settings. Please report problems to igornys@writeme.com 	Diese Optionen bitte nur bei Problemen mit den Standard-Einstellungen ändern. Probleme bitte auch dem Autor berichten (igornys@writeme.com).
Change these settings at your own discretion! Making a window layered may prevent Multimedia and Skinned application from working properly.	Diese Einstellungen sehr vorsichtig ändern! Ein Fenster als layered zu definieren, verhindert u.U., dass Multimedia-Anwendungen und solche, die Skins nutzen, korrekt arbeiten.
Class Filtering	nach Klassen filtern
Compatibility	Kompatibilität
Complexity Filter	Komplexitätsfilter
Console Window	Konsolenfenster
Create Tray Icon for the TrayIt application	TrayIt!-Symbol im Infobereich anzeigen
Current GUID	aktuelle GUID
Delete Profile	Profil löschen
Di&sable Profile	Profil deaktivieren
Disable Quick Minimize	Schnelles Minimieren deaktivieren
Disabled Profiles	Inaktive Profile
Do not create Tray Icon - minimize and hide window completely	kein Symbol im Infobereich (Fenster minimieren, vollständig verstecken)
Edit &Profile	Profil bearbeiten
Edit Current Profile	Aktuelles Profil bearbeiten
Enable extra processing for windows that can not be hooked	Verarbeitung für Fenster, die nicht als abhängig formuliert werden können
Enable functionallity to remove extra shell icons	Funktionalität aktivieren, um zusätzliche Shellsymbole auszublenden
Enable Window Attributes menu	Attribute-Menue aktivieren
Enable/Disable Current Profile	Aktuelles Profil aktivieren/deaktivieren
Enable/Disable Tray Icons for selected process	Aktivieren/Deaktivieren des Symbols für ausgewählten Prozess
Error creating window class: 	Fehler beim Erzeugen der Windows-Klasse: 
Error creating window: 	Fehler beim Erzeugen des Fensters: 
Error loading &This window has no associated profile!   Lesefehler &Das Fenster hat keine verknüpften Profile!
Error registering hook!	Fehler "Hook Registrierung"!
Exact match with the windows class name is used by default. If pattern matching is active,  '*' and '?' wildcards are allowed in the class name.         Standard: Genaue Übereinstimmung mit Fensterklassen-Namen.Wenn Muster-Übereinstimmung aktiv, sind '*' und '?' als Platzhalter im Klassennamen erlaubt. 
