&About ...	TrayIt! について(&A)
&Apply	適用(&A)
&Cancel	中止(&C)
&Close Group	グループを閉じる(&C)
&Close Window	ウィンドウを閉じる(&C)
&Delete Profile	プロフィールを削除(&D)
&Edit	編集(&E)
&Edit Profile ...	プロフィール編集(&E)
&Enable Profile	プロフィールを有効化(&E)
&Exit	終了(&E)
&Help	ヘルプ(&H)
&Help...	ヘルプ(&H)
&Hide Group	グループを隠す(&E)
&Hide Window	ウィンドウを隠す(&H)
&Options	オプション(&O)
&Predefined Profiles	既定のプロフィール(&P)
&Profiles	プロフィール(&P)
&Refresh Tray Icons	トレイアイコン再読込(&R)
&Restore Group	グループを復元(&R)
&Restore Window	ウィンドウを復元(&R)
&Select Language	表示用言語選択(&S)
&Shell Icons	シェルアイコン(&S)
&Uninstall	設定を削除して初期化(&U)
[Create new GUID]	[新しいGUID作成]
[No module information available]	[有効なモジュール情報なし]
[Unable to get process information]	[プロセス情報取得不能]
1. You can temporarily put any window in the system tray by keeping down the <Shift> button  when minimizing the window.	1. <Shift>キーを押しながらウィンドウを最小化することで、あらゆるウィンドウを一時的にシステムトレイに格納することができます。
2. To always keep window in the system tray when minimized, click with the RIGHT mouse button on the corresponding icon created in the tray in the previous step and  check "Place in System Tray" in the popup menu.	2. ウィンドウ最小化時はつねにシステムトレイに格納したい場合、前項の方法でシステムトレイに表示されたアイコンを右クリックして、ポップアップメニューの「システムトレイに表示」をチェックしてください
3. Clicking with the right mouse button on the minimize icon will bring TrayIt! context menu for this window. Just check "Place in System Tray" in the popup menu to make window always go to the tray.	3. ウィンドウの最小化ボタンか、トレイに表示されたアイコンを右クリックすれば、そのウィンドウのメニューがポップアップ表示されます。「システムトレイに表示」をチェックしている場合は、常にシステムトレイにアイコンが表示されています。 
About ...	TrayIt! 情報
About TrayIt!	TrayIt! について
Activate status monitoring if message hook can not be installed	メッセージフックがインストールされないとき、ステータスのモニタを有効化
Active Profiles	有効なプロフィール
Advanced	上級設定
Always start minimized	常に最小化状態で起動
Application	TrayIt! アプリケーション
Application Name and GUID	アプリケーションの名称とGUID
Are you sure you want to delete a locked entry?	ロックしたエントリーを削除しますか？
Are you sure?	実行しますか？
Available Profiles	使用可能なプロフィール
Basic	基本設定
Cancel	中止
Can't save options - Profile does not exist anymore.	オプション選択を保存不能 - プロフィールが存在しません
Change compatibility options only if you experiencing problems with the default settings. Please report problems to igornys@writeme.com 	デフォルト設定で問題が生じる場合、互換性オプションを変更してください。問題についての情報を igornys@writeme.com に報告してください。
Change these settings at your own discretion! Making a window layered may prevent Multimedia and Skinned application from working properly.	この設定変更は自己の責任で行ってください！ウィンドウの透過表示は、マルチメディアやスキンを使用するアプリケーションの正常な動作をさまたげるおそれがあります。
Class Filtering	クラスのフィルタリング
Compatibility	互換性
Complexity Filter	ウィンドウ重積のフィルタ
Console Window	コンソールウィンドウ
Create Tray Icon for the TrayIt application	TrayIt のアイコンをトレイに表示
Current GUID	選択アイテムの GUID
Delete Profile	プロフィール削除
Di&sable Profile	プロフィールを無効化(&S)
Disable Quick Minimize	即時最小化を無効化
Disabled Profiles	無効化されているプロフィール
Do not create Tray Icon - minimize and hide window completely	トレイアイコンを表示しない - 最小化時およびウィンドウ非表示時
Edit &Profile	プロフィール編集(&P)
Edit Current Profile	選択アイテムのプロフィール編集
Enable extra processing for windows that can not be hooked	フック不能なウィンドウの特殊処理を有効化
Enable functionallity to remove extra shell icons	特殊なシェルアイコンの削除機能を有効化
Enable Window Attributes menu	ウィンドウの属性メニューを有効化
Enable/Disable Current Profile	プロフィールの有効化/無効化
Enable/Disable Tray Icons for selected process	選択プロセスのトレイアイコン表示の有効化/無効化
Error creating window class: 	ウィンドウクラス作成エラー： 
Error creating window: 	ウィンドウ作成エラー： 
Error loading	読取りエラー
This window has no associated profile!	このウィンドウのプロフィールはありません！
Error registering hook!	フック登録エラー！
Exact match with the windows class name is used by default. If pattern matching is active,  '*' and '?' wildcards are allowed in the class name. 	デフォルト設定はウィンドウのクラス名の完全一致。 '*' （アスタリスク）と '?' （クエスチョン） がクラス名のワイルドカードとして使用できます。
Exit TrayIt!, are you sure?	TrayIt! を終了しますか？
Export &Settings	設定をエクスポート(&S)
Extras	特殊設定
File	ファイル
Find Window	ウィンドウを探す
For the latest version of TrayIt! visit  http://www.trayit.com	TrayIt! の新バージョンをチェック http://www.trayit.com 
Group similar tray icons for each application	同種アプリのトレイアイコンをグループ化
Grouping	グループ化
Groups	グループ
Handle SDI type applications like Excel, PowerPoint or MS Project	 SDI タイプのアプリケーションをハンドル（Excel,PowerPoint,MS Project 等）
Help file not found!	ヘルプファイルが見当たりません！
Help!	ヘルプ！
Hide application from the Taskbar all the time, keep tray icon only	常に、タスクバーボタンを表示せず、トレイアイコンのみを表示
Hold <Shift> instead of <Ctrl> minimizing a window to the tray	<Shift>押しで最小化時にシステムトレイへ （チェックなしは<Ctrl>押し）
