&About ...	&Sobre ...
&Apply	&Aplicar
&Close Group	&Fechar Grupo
&Close Window	&Fechar Janela
&Delete Profile	&Apagar Perfil
&Edit	&Editar
&Edit Profile ...	&Editar Perfil ...
&Enable Profile	&Ativar Perfil
&Exit	&Sair
&Help	&Ajuda
&Help...	&Ajuda...
&Hide Group	&Esconder Grupo
&Hide Window	&Esconder Janela
&Options	&Opções
&Predefined Profiles	&Perfis Pré-definidos
&Profiles	&Perfis
&Refresh Tray Icons	&Atualizar Ícones do Tray
&Restore Group	&Restaurar Grupo
&Restore Window	&Restaurar Janela
&Select Language	&Selecionar Idioma
&Shell Icons	&Ícones do Sistema
&Uninstall	&Desinstalar
[Create new GUID]	[Criar nova GUID]
[No module information available]	[Nenhuma informação disponível sobre o módulo]
[Unable to get process information]	[Impossível conseguir informações do processo]
1. You can temporarily put any window in the system tray by keeping down the <Shift> button  when minimizing the window.	1. Você pode colocar temporáriamente uma janela no tray, segurando o botão <Shift> ao minimizar uma janela.
2. To always keep window in the system tray when minimized, click with the RIGHT mouse button on the corresponding icon created in the tray in the previous step and  check "Place in System Tray" in the popup menu.	2. Para manter a janela sempre no tray, clique com o botão DIREITO do mouse no ícone do tray criado anteriormente e marque "Colocar no Tray" no menu popup do mesmo.
3. Clicking with the right mouse button on the minimize icon will bring TrayIt! context menu for this window. Just check "Place in System Tray" in the popup menu to make window always go to the tray.	3. Clicando com o botão direito do mouse no ícone "Minimizar" vai fazer aparecer o menu de contexto do TrayIt! para essa janela. Apenas marque "Colocar no Tray" no menu popup da mesma para fazer com que a janela sempre fique no tray.
About ...	Sobre ...
About TrayIt!	Sobre o TrayIt!
Activate status monitoring if message hook can not be installed	Ativar monitoramento de estado caso o interceptador de mensagens não instale
Active Profiles	Perfis Ativos
Advanced	Avançado
Always start minimized	Iniciar minimizado
Application	Programa
Application Name and GUID	Nome e GUID do programa
Are you sure you want to delete a locked entry?	Você tem certeza que deseja apagar essa entrada protegida?
Are you sure?	Você tem certeza?
Available Profiles	Perfis Disponíveis
Basic	Básico
Can't save options - Profile does not exist anymore.	Não foi possível salvar as opções - O perfil não existe mais.
Change compatibility options only if you experiencing problems with the default settings. Please report problems to igornys@writeme.com 	Apenas mude as opções de compatibilidade caso você tenha problemas com as opções padrão. Por favor, reporte problemas a igornys@writeme.com 
Change these settings at your own discretion! Making a window layered may prevent Multimedia and Skinned application from working properly.	Mude essas opções a seu risco e discrição! Fazer com que uma janela tenha camadas pode fazer com que programas multimídia ou com skins funcionem incorretamente.
Class Filtering	Filtro de Classes
Compatibility	Compatibilidade
Complexity Filter	Filtro de Complexidade
Console Window	Janela do tipo Console
Create Tray Icon for the TrayIt application	Criar um ícone no Tray para o programa TrayIt
Current GUID	GUID Atual
Delete Profile	Apagar Perfil
Di&sable Profile	De&sativar Perfil
Disable Quick Minimize	Desativar Minimizamento Rápido
Disabled Profiles	Perfis Inativos
Do not create Tray Icon - minimize and hide window completely	Não criar ícone no Tray - minimizar e esconder completamente a janela
Edit &Profile	Editar &Perfil
Edit Current Profile	Editar Perfil Atual
Enable extra processing for windows that can not be hooked	Ativar processamento extra para janelas que não podem ser interceptadas
Enable functionallity to remove extra shell icons	Ativar funcionalidade de remover ícones de sistema
Enable Window Attributes menu	Ativar menu de Atributos da Janela
Enable/Disable Current Profile	Ativar/Desativar Perfil Atual
Enable/Disable Tray Icons for selected process	Ativar/Desativar ícones do Tray para os processos selecionados
Error creating window class: 	Erro ao criar a classe da janela: 
Error creating window: 	Erro ao criar janela: 
Error loading	Erro ao carregar
This window has no associated profile!	Essa janela não tem um perfil associado!
Error registering hook!	Erro ao registrar interceptador!
Exact match with the windows class name is used by default. If pattern matching is active,  '*' and '?' wildcards are allowed in the class name. 	A correspondência exata ao nome da janela é usada por padrão. Se o uso de máscaras estiver ativado, coringas '*' e '?' são permitidos no nome da classe. 
Exit TrayIt!, are you sure?	Sair do TrayIt!, você tem certeza?
Export &Settings	Exportar &Configurações
