&About ...	&О Программе ...
&Apply	&Применить
&Close Group	&Закрыть группу окон
&Close Window	&Закрыть окно
&Delete Profile	&Стереть профиль
&Edit	&Редактировать
&Edit Profile ...	&Редактировать профиль ...
&Enable Profile	&Разрешить профиль
&Exit	&Завершить
&Help	&Помощь
&Help...	&Помощь...
&Hide Group	&Скрыть группу окон
&Hide Window	&Скрыть окно
&Options	&Установки
&Predefined Profiles	&Библиотека профилей
&Profiles	&Профили
&Refresh Tray Icons	&Обновить иконки
&Restore Group	&Восстановить группу окон
&Restore Window	&Восстановить окна
&Select Language	Выбор языка
&Shell Icons	&Иконки в трэе
&Uninstall	&Удалить программу
[Create new GUID]	[Создать новый GUID]
[No module information available]	[Информация о модуле недоступна]
[Unable to get process information]	[Информация о процессе недоступна]
1. You can temporarily put any window in the system tray by keeping down the <Shift> button  when minimizing the window.	1. Для быстрой минимизации в системный трэй достаточно просто держать нажатой кнопку <Shift> нажимая на кнопку минимизации окна.
2. To always keep window in the system tray when minimized, click with the RIGHT mouse button on the corresponding icon created in the tray in the previous step and  check "Place in System Tray" in the popup menu.	2. Создание профиля приложения позволяет минимизировать в системный трэй вместо панели задач. Выберите “Поместить в системный трэй” из контекстного меню, появлящемся при щелчке правой кнопкой мышки на иконку в системном трэе.
3. Clicking with the right mouse button on the minimize icon will bring TrayIt! context menu for this window. Just check "Place in System Tray" in the popup menu to make window always go to the tray.	3. Простой доступ к конфигурации приложения можно получить используя контекстное меню на кнопке минимизации окна приложения.
About ...	О программе ...
About TrayIt!	О программе TrayIt!
Activate status monitoring if message hook can not be installed	Разрешить мониторинг если сообщения окна не могут быть перехвачены 
Active Profiles	Актививные профили
Advanced	Редко используемые
Always start minimized	Всегда стартовать TrayIt! минимизированным
Application	Приложение
Application Name and GUID	Название приложения и идентификатор профиля
Are you sure you want to delete a locked entry?	Вы уверены, что хотите удалить защищенный профиль?
Are you sure?	Вы уверены?
Available Profiles	Доступные профили
Basic	Основные
Can't save options - Profile does not exist anymore.	Не могу сохранить установки, профиль больше не существует.
Change compatibility options only if you experiencing problems with the default settings. Please report problems to igornys@writeme.com 	Изменяйте опции совместимости только если у вас есть проблемы с установками по умолчанию. О проблемах сообщайте igornys@writeme.com 
Change these settings at your own discretion! Making a window layered may prevent Multimedia and Skinned application from working properly.	 Изменение атрибута послойного отображения окон может привести к неправильной работе приложения!.
Class Filtering	Филтр по классу окна
Compatibility	Совместимость
Complexity Filter	Фильтр сложности окна
Console Window	Окно консольного приложения
Create Tray Icon for the TrayIt application	Создать иконку в трэе для программы TrayIt! 
Current GUID	Текущий GUID
Delete Profile	Удалить профиль
Di&sable Profile	Сделать профиль неактивным
Disable Quick Minimize	Запретить быструю минимизацию
Disabled Profiles	 Пассивные профили
Do not create Tray Icon - minimize and hide window completely	Минимизировать окно и полностью скрыть
Edit &Profile	Редактировать профиль
Edit Current Profile	Редактировать текущий профиль
Enable extra processing for windows that can not be hooked	Разрешить обработку если мониторинг сообщений невозможен 
Enable functionallity to remove extra shell icons	Разрешить функциональность по удалению иконок в трэе 
Enable Window Attributes menu	Разрешить меню установки атрибутов окна  
Enable/Disable Current Profile	Активировать/Пассивировать профиль
Enable/Disable Tray Icons for selected process	Разрешить/Удалить иконки в трэе для выбранного процесса
Error creating window class: 	Ошибка создания класса окна: 
Error creating window: 	Ошибка создания окна: 
Error loading (65)Ошибка загрузки
&This window has no associated profile!	Профиль асоциированный с окном не существует!
