&About ...	&Acerca de ...
&Apply	&Aplicar
&Close Group	&Cerrar grupo
&Close Window	&Cerrar ventana
&Delete Profile	&Borrar Perfil
&Edit	&Editar
&Edit Profile ...	&Editar Perfil...
&Enable Profile	&Activar Perfil
&Exit	&Salir
&Help	&Ayuda
&Help...	&Ayuda...
&Hide Group	Esconder &Grupo
&Hide Window	Esconder &Ventana
&Options	&Opciones
&Predefined Profiles	&Perfiles predefinidos
&Profiles	&Perfiles
&Refresh Tray Icons	&Actualizar iconos de la bandeja
&Restore Group	&Restaurar grupo
&Restore Window	&Restaurar ventana
&Select Language	&Seleccionar idioma
&Shell Icons	&Iconos del sistema
&Uninstall	&Desinstalar
[Create new GUID]	[Crear nuevo GUID]
[No module information available]	[No hay hay información sobre el módulo]
[Unable to get process information]	[No se puede conseguir información del proceso]
1. You can temporarily put any window in the system tray by keeping down the <Shift> button  when minimizing the window.	1. Puedes mandar cualquier ventana temporalmente a la bandeja del sistema manteniendo apretada la tecla de Mayúsculas mientras la minimizas
2. To always keep window in the system tray when minimized, click with the RIGHT mouse button on the corresponding icon created in the tray in the previous step and  check "Place in System Tray" in the popup menu.	2. Para mantener una ventana siempre minimizada en la bandeja del sistema, haz click con el botón DERECHO del ratón en el icono de la bandeja creado en el paso previo y marca "Dejar en la Bandeja del Sistema" en el desplegable.
3. Clicking with the right mouse button on the minimize icon will bring TrayIt! context menu for this window. Just check "Place in System Tray" in the popup menu to make window always go to the tray.	3. Un click derecho sobre el botón de minimizar de la ventana mostrará un menú de TrayIt! para esta ventana. Basta marcar "Dejar en la bandeja" en el menú emergente para hacer que siempre vaya a la bandeja.
About ...	Acerca de ...
About TrayIt!	Sobre TrayIt!
Activate status monitoring if message hook can not be installed	Activar la monitorización si no se puede instalar el "gancho" de mensajes
Active Profiles	Perfiles activos
Advanced	Avanzado
Always start minimized	Arrancar minimizado
Application	Aplicación
Application Name and GUID	Nombre y GUID de la aplicación
Are you sure you want to delete a locked entry?	¿Seguro que quieres borrar una entrada bloqueada?
Are you sure?	¿Estás seguro?
Available Profiles	Perfiles disponibles
Basic	Básico
Can't save options - Profile does not exist anymore.	No se pueden guardar las opciones - El perfil ya no existe.
Change compatibility options only if you experiencing problems with the default settings. Please report problems to igornys@writeme.com 	Cambia las opciones de compatibilidad solo si experimentas problemas. Por favor, avisa de los problemas (en inglés) a igornys@writeme.com 
Change these settings at your own discretion! Making a window layered may prevent Multimedia and Skinned application from working properly.	¡Cambia estas opciones bajo tu propia responsabilidad! Hacer que una ventana tenga capas puede estropear el funcionamiento de aplicaciones multimedia o que usen pieles ('skins')
Class Filtering	Filtrado de clases
Compatibility	Compatibilidad
Complexity Filter	Filtro de complejidad
Console Window	Ventana de la consola
Create Tray Icon for the TrayIt application	Mostrar el icono de TrayIt en la bandeja
Current GUID	GUID actual
Delete Profile	Borrar perfil
Di&sable Profile	De&sabilitar perfil
Disable Quick Minimize	Desabilitar minimizado rápido
Disabled Profiles	Perfiles desabilitados
Do not create Tray Icon - minimize and hide window completely	No crear icono en la bandeja - Minimiza y oculta la ventana completamente
Edit &Profile	Editar &Perfil
Edit Current Profile	Editar perfil actual
Enable extra processing for windows that can not be hooked	Habilitar procesado extra para ventanas que no se pueden "enganchar"
Enable functionallity to remove extra shell icons	Habilitar la función de quitar de la bandeja iconos del sistema sobrantes
Enable Window Attributes menu	Habilitar el menú de Atributos de Ventana
Enable/Disable Current Profile	Habilitar/Deshabilitar el perfil actual
Enable/Disable Tray Icons for selected process	Habilitar/Deshabilitar los iconos en la bandeja para los procesos seleccionados
Error creating window class: 	Error al crear la clase de la ventana:
Error creating window: 	Error al crear la ventana:
Error loading	Error de carga
This window has no associated profile!	!Esta ventana no tiene un perfil asociado!
Error registering hook!	¡Error al registrar el "gancho"!
Exact match with the windows class name is used by default. If pattern matching is active,  '*' and '?' wildcards are allowed in the class name. 	Por defecto de busca una coincidencia exacta con el nombre de clase de la ventana. Si se activa el reconocimiento de patrones, se permiten los comodines '*' y '?' en el nombre de clase.
Exit TrayIt!, are you sure?	¿Seguro que quieres salir de TrayIt!?
Export &Settings	Exportar configuración
Extras	Extras
File	Archivo
Find Window	Encontrar ventana
For the latest version of TrayIt! visit  http://www.trayit.com	Para buscar actualizaciones de TrayIt! visita http://www.trayit.com
Group similar tray icons for each application	Agrupar iconos similares de cada aplicación
Grouping	Agrupamiento
Groups	Grupos
Handle SDI type applications like Excel, PowerPoint or MS Project	Manejar aplicaciones tipo SDI como Excel, PowerPoint o MS Project
Help file not found!	¡No hay archivo de ayuda!
Help!	¡Ayuda!
Hide application from the Taskbar all the time, keep tray icon only	No mostrar la aplicación en la barra de tareas, dejar solo el icono de la bandeja
Hold <Shift> instead of <Ctrl> minimizing a window to the tray	Usar <May> en lugar de <Ctrl> para minimizar una ventana a la bandeja
Hold the left mouse key when dragging the Finder Tool over the target window	Mantén el botón izquierdo del raton y suelta el icono sobre una ventana para saber cuál es
Icon GUID	GUID del icono
Invalid Window	Ventana inválida
Load TrayIt! at Startup	Cargar TrayIt! al arrancar
Lock (preserve) settings when changing 'Place in System Tray' status.	Bloquear (mantener) la configuración al cambiar el estado de 'Mantener en la bandeja del sistema'.
Make window layered to enable transparency	Hacer que la ventana tenga capas para habilitar la transparencia
Make window topmost and always visible	Traer la ventana al frente y hacerla visible
Match pattern below with the window class name 	Buscar coincidencias con el patrón de abajo en el nombre de clase de la ventana
Match pattern below with the window title when creating a Tray icon	Buscar coincidencias con el título de la ventana para crear un icono en la bandeja
Maximize	Maximizar
Minimize when in Foreground, activate when in Background	Minimizar cuando esté en primer plano, activar cuando esté en el fondo
Minimize window on creation / when TrayIt! is started	Minimizar la ventana al crearla / cuando se inicie TrayIt!
Minimize	Minimizar
Miscellaneous	Miscelánea
Modify Application Options	Modificar las opciones de la aplicación
More	Más
Name as it appears in the profile list	El nombre que aparece en la lista de perfiles
No profiles stored	No hay perfiles almacenador
Only create Tray Icon for windows having children	Solo crear un icono en la bandeja para aplicaciones con "hijos"
Pattern matches a substring in the window title. Patterns are not case sensitive.  '*' and '?' wildcards are allowed. '^' as a first symbol inverts the pattern.  '|' separates the alternatives.	El patrón busca coincidencias con parte del título de la ventana. No es sensible a mayúsculas. Se permiten los comodines '*' y '?'. Un '^' al principio invierte el patrón. '|' separa diferentes alternativas.
Place in System &Tray	Poner en la bandeja
Place in System Tray!	Poner en la bandeja!
Please note that context menu will work only for the standard minimize icon and will not pop-up if the program use skins like MS Media player.	Nótese que el menú contextual solo funcionará para el icono minimizado por defecto y no lo hará si el programa usa 'skins' (pieles) como el Media Player
Please restart TrayIt! to activate new settings.	Por favor, reinicie TrayIt! para activar los cambios
Please waitt .... Initialization in progress	Espere... Inicializando
Profile	Perfil
Profile(s)	Perfil(es)
Profiles List	Lista de perfiles
Profiles	Perfiles
Quick Minimize	Minimizado rápido
Refresh &Window List	Actualizar lista de ventanas
Refresh Icons	Actualizar iconos
Refresh Profiles	Actualizar perfiles
Refresh	Actualizar
Safe mode - use an alternative slow algorithm to increase compatibility	Modo seguro - usa otro algoritmo más lento que aumenta la compatibilidad
Select a new GUID for the Tray Icon:	Seleccionar un nuevo GUID para el icono de la bandeja:
Select Profiles to Import	Seleccionar perfiles a importar
Enable compatibility mode supporting 64-bit Windows	Habilitar modo de compatibilidad que funciona en Windows de 64 bits
Set window attributes on creation / when TrayIt! is started	Fijar los atributos de ventana al crearla / cuando se inicia TrayIt!
Shell Icons List	Lista de iconos del sistema
Shell Icons	Iconos del sistema
ShellIcons	Iconos del sistema
Show Currently Active Windows	Mostrar la ventana activa
Show Profile List	Mostrar lista de perfiles
Show System Tray Icon in minimized state only	Mostrar el icono en la bandeja solo cuando está minimizado.
Show window handler in tooltips and listview	Mostrar el manejador de la ventana en las sugerencias emergentes y en el listado
Standard definition file not found!	¡Fichero de configuración por defecto no encontrado!
Startup	Arranque
Support Visual Styles on Windows XP	Permitir Estilos visuales en Windows XP
System will return to the standard Windows (c) behavior.	El sistema volverá al comportamiento habitual de Windows (c)
The profiles will appear in the disabled state. You will need to go to the 'Profiles' dialog to enable it.	Los perfiles aparecerán deshabilitados. Tendrás que ir al diálogo de 'Perfiles' para habilitarlo
The required message hook notifications are missing. Try to reboot Windows!	Fallan los mensajes de notificación de "enganche". ¡Prueba a reiniciar Windows!
Title Filtering	Filtar títulos
Toggle Profile	Cambiar perfil
Toggle Tray Icons	Cambiar iconos de la bandeja
Topmost	Superior
Translated to English by Igor Nys, 2007	Traducido al español por Enrique Vallejo, 2007
Transparency	Transparencia
Tray Icon GUID	GUID del icono de la bandeja
Tray Icon	Icono de la bandeja
Tray	Bandeja
TrayApp	Aplicación en la bandeja
TrayIt! &Application ...	&Ventana de TrayIt!
TrayIt! Application -- Please Wait	Aplicación TrayIt! -- Espere
TrayIt! Application Options	Opciones de TrayIt!
TrayIt! by Igor Nys	TrayIt! por Igor Nys
